full_name,short_name,nodes,edges,execution_paths,runtime,Model D RBO,HARM RBO
com.swiftmq.swiftmq-client-12.1.0-reduced.json,swiftmq-client,170,1472,86,51.66391328899772,1.0,1.0
com.swiftmq.swiftmq-client-12.1.0-reduced.json,swiftmq-client,180,1528,86,51.82735406899883,1.0,1.0
com.swiftmq.swiftmq-client-12.1.0-reduced.json,swiftmq-client,190,1559,86,51.6910244890023,1.0,1.0
com.swiftmq.swiftmq-client-12.1.0-reduced.json,swiftmq-client,200,1600,86,51.75277304699557,1.0,1.0
com.swiftmq.swiftmq-client-12.1.0-reduced.json,swiftmq-client,210,1644,86,51.8045197600004,1.0,1.0
com.swiftmq.swiftmq-client-12.1.0-reduced.json,swiftmq-client,220,1718,86,51.66889815600007,1.0,1.0
com.swiftmq.swiftmq-client-12.1.0-reduced.json,swiftmq-client,230,1786,86,51.65218623200053,1.0,1.0
com.swiftmq.swiftmq-client-12.1.0-reduced.json,swiftmq-client,240,1937,86,51.67599867599347,1.0,1.0
com.swiftmq.swiftmq-client-12.1.0-reduced.json,swiftmq-client,250,2188,86,51.653714344000036,1.0,1.0
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,hibernate-json,10,2,8,0.7983803600000101,1.0,0.7240943243394224
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,hibernate-json,20,16,8,0.24441696899884846,1.0,0.7075192327643309
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,hibernate-json,30,37,8,0.24424106899823528,1.0,0.7225011870845205
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,hibernate-json,40,71,8,0.2658921299953363,1.0,0.7225011870845205
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,hibernate-json,50,129,8,0.27221894299873384,1.0,0.7225011870845205
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,hibernate-json,60,172,8,0.2687377180045587,1.0,0.7225011870845205
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,hibernate-json,70,202,8,0.2656759570018039,1.0,0.7225011870845205
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,hibernate-json,80,337,8,0.26939744100673124,1.0,0.7225011870845205
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,hibernate-json,90,382,8,0.2722922280008788,1.0,0.7225011870845205
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,hibernate-json,100,607,8,0.27075729799980763,1.0,0.7225011870845205
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,hibernate-json,110,836,8,0.3125482089963043,1.0,0.7225011870845205
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,10,8,6,0.7154712629999267,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,20,27,6,0.14566802899935283,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,30,42,6,0.1482027950041811,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,40,80,6,0.1539816900040023,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,50,132,6,0.15717843000311404,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,60,255,6,0.19641099000000395,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,70,319,6,0.15962390400090953,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,80,390,6,0.16164429100172129,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,90,439,6,0.1597003790011513,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,100,467,6,0.161125794002146,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,110,502,6,0.16275215299538104,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,120,531,6,0.16436180000164313,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,130,565,6,0.1606088879998424,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,140,587,6,0.16237131699745078,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,150,621,6,0.16371235599945066,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,160,637,6,0.16444034400046803,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,170,695,6,0.1659250279990374,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,180,737,6,0.16706610999972327,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,190,786,6,0.16737147399544483,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,200,814,6,0.16919741799938492,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,210,844,6,0.17093046400259482,1.0,1.0
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,webtau-http,220,889,6,0.17215464099717792,1.0,1.0
