project,nodes,edges,runtime,paths
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,170,1063,0.17675015499116853,8
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,180,1212,0.1872945549839642,8
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,190,1389,1.5304212080081925,8
net.optionfactory.hibernate-json-3.0-SNAPSHOT-reduced.json,200,1544,12.735671819013078,8
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,10,8,0.6161669069842901,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,20,21,0.022860431985463947,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,30,33,0.025083993998123333,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,40,98,0.032112345012137666,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,50,146,0.035204226995119825,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,60,189,0.0380264779960271,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,70,202,0.035886030993424356,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,80,254,0.03794313999242149,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,90,293,0.03554206597618759,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,100,345,0.0373494399827905,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,110,373,0.03861678298562765,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,120,394,0.039840351993916556,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,130,416,0.036964332015486434,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,140,488,0.03836089401738718,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,150,520,0.03940443499595858,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,160,567,0.04061789301340468,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,170,577,0.04134770398377441,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,180,591,0.04241933400044218,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,190,632,0.043377088994020596,6
org.testingisdocumenting.webtau.webtau-http-1.22-SNAPSHOT-reduced.json,200,653,0.044429686007788405,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,10,4,0.6123453559994232,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,20,23,0.022047523001674563,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,30,38,0.024310022010467947,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,40,50,0.0309814449865371,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,50,70,0.033283622993621975,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,60,83,0.0357206680055242,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,70,106,0.034091251000063494,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,80,123,0.03554570299456827,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,90,144,0.03325099401990883,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,100,170,0.0370674479927402,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,110,192,0.03623784700175747,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,120,224,0.03773000100045465,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,130,248,0.03469508799025789,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,140,274,0.03555903601227328,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,150,310,0.03691446199081838,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,160,344,0.038230739010032266,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,170,441,0.04013155301799998,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,180,568,0.07350654399488121,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,190,705,0.04467319301329553,6
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,200,915,0.04776104900520295,6
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,10,8,0.6432188420149032,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,20,31,0.06033398202271201,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,30,61,0.05908673198428005,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,40,146,0.06477173999883235,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,50,319,0.10164487498695962,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,60,542,22.255595377006102,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,70,672,22.245881280017784,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,80,745,21.75743569599581,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,90,787,21.643985202972544,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,100,880,257.9583075219998,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,110,951,257.5108952370065,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,120,979,260.82065910700476,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,130,1044,257.0437222800101,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,140,1168,260.73526324200793,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,150,1228,257.77141514502,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,160,1324,258.75572279898915,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,170,1513,260.52759892700124,3
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,180,1797,3060.866843453987,3
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,10,4,0.6114588829805143,6
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,20,64,0.02296562399715185,6
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,30,205,0.027413281990448013,6
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,40,286,0.049580924009205773,6
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,50,312,0.05243339398293756,6
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,60,330,0.055166937003377825,6
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,70,377,0.055644029984250665,6
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,80,637,0.09076472499873489,6
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,90,690,0.12379638099810109,6
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,100,952,1.3215730239753611,6
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,110,1221,30.261966985999607,6
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,120,1490,56.29349425897817,6
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,130,1773,517.5590711779951,6
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,140,2082,523.5635648290045,6
org.testingisdocumenting.webtau.webtau-report-1.22-SNAPSHOT-reduced.json,150,2333,7629.550137248007,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,10,4,0.6160953270155005,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,20,14,0.02224876600666903,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,30,26,0.024259556987090036,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,40,52,0.030610604997491464,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,50,88,0.03358878000290133,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,60,123,0.036441966018173844,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,70,189,0.03499344698502682,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,80,285,0.03752180500305258,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,90,306,0.03472813300322741,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,100,403,0.036970989021938294,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,110,445,0.07030649698572233,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,120,468,0.04048796999268234,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,130,500,0.036916559998644516,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,140,547,0.03796245000557974,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,150,639,0.03982486901804805,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,160,731,0.04135606100317091,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,170,832,0.04330184598802589,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,180,900,0.04470101499464363,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,190,957,0.04601958399871364,6
org.testingisdocumenting.webtau.webtau-java-runner-1.22-SNAPSHOT-reduced.json,200,970,0.04667238699039444,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,10,4,0.5957591060141567,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,20,19,0.021719840995501727,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,30,34,0.024046117992838845,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,40,52,0.03043512301519513,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,50,101,0.03353051401791163,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,60,130,0.035990870994282886,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,70,167,0.03433790599228814,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,80,180,0.03586700398591347,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,90,219,0.03371279299608432,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,100,250,0.03511430797516368,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,110,279,0.03653690399369225,6
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,120,462,0.04002599400701001,6
